F20_1,F20_2,F20_3,F8_1,F8_2,F8_3,CM_1,CM_2,CM_3,Gene names,Localisation
29.45871353,29.64782143,29.0508213,32.96285629,32.77381897,33.44529724,29.75474548,29.66548157,29.58033943,CLIC1,IC
29.20555115,0,29.92308998,32.55430603,32.5737114,33.02163315,30.1937809,28.89194679,29.62751007,CLIC4,IC
0,0,0,24.20202255,24.31153679,25.15641975,0,0,0,CLIP1,IC
0,0,0,26.68391609,26.89816093,27.14267731,0,0,0,CLIP2,IC
0,0,0,28.29228401,27.515028,28.00372696,0,0,0,CLMP,M
28.43912506,0,29.80713272,0,0,0,31.69818115,29.45564079,31.16008759,CLSTN1,M
0,0,0,28.37596321,27.80020523,30.03747749,0,25.72155952,0,CLTB,IC
30.43857002,0,27.02252769,28.71989441,26.19696808,27.98440742,28.79986572,26.94681549,28.37546539,CLU,IC/S
0,0,0,28.84682083,28.79560089,29.81228447,0,0,0,CMPK1,S
0,0,0,28.32242584,28.04567528,28.16461372,0,0,0,CNDP2,IC
0,0,0,24.49814034,24.30619049,24.3925724,0,0,0,CNNM4;CNNM3,M
0,0,0,23.56185722,25.87923431,24.66633224,0,0,0,CNPY2,IC/S
0,0,0,0,0,0,23.56523132,24.73241615,23.69019127,CNTN1,S
29.32588196,30.00731468,29.91242218,0,0,0,27.18754196,27.45630646,27.35917473,COL11A1,IC/S
30.84692574,29.06049156,30.49505043,30.03878593,30.55846405,30.05982018,30.87364388,29.77613258,31.32983208,COL12A1,IC/S
0,0,0,0,0,0,25.78121758,25.42940521,25.79785919,COL18A1,IC/S
33.0858345,31.38324356,32.7638855,31.91427612,30.57983589,31.5104599,32.49252319,31.53917694,32.41988754,COL1A1,IC/S
31.55339241,30.84767151,31.34371567,30.27063942,29.73175621,30.01211929,31.36567497,30.31613731,31.07291031,COL1A2,S
0,0,0,0,0,0,0,25.91538239,25.22982407,COL2A1,S
27.90563965,0,26.84385872,26.5041256,24.41131592,24.58634758,28.40303993,0,26.06278801,COL3A1,IC/S
28.05076981,0,27.67593193,27.66553307,27.54133797,28.20829773,27.69571114,26.09301376,28.27936745,COL4A1,IC/S
0,0,0,27.05920219,26.81213188,27.32216835,26.54555702,0,27.84116173,COL4A2,IC/S
30.57929611,30.44055176,30.73214531,25.66809273,26.49702835,0,28.7768383,28.55013847,29.19100571,COL5A1,IC/S
35.20241165,33.90786362,34.59273529,36.42498779,36.84256363,36.91081619,34.60000992,33.10022354,34.51506424,COL6A1,S
33.49845505,32.80058289,33.1574707,35.89041519,36.32151794,36.43498993,32.44312286,30.79374123,32.73234558,COL6A2,IC/S
0,0,0,27.93606949,28.20876312,28.02944183,0,0,0,COL6A3,IC/S
35.9172554,35.33654404,35.4801178,38.12333298,38.2876091,38.42369461,34.80034256,33.54201508,34.5092926,COL6A3,IC/S
0,0,0,0,0,0,28.24920654,27.2471714,27.80402756,COLEC10,S
0,0,0,26.97967339,26.60526657,26.46841431,0,0,0,COMT,IC/M
0,0,0,25.26395416,25.49591637,25.75641251,0,0,0,COPS3,IC
0,0,0,26.06163406,26.23396111,26.44480705,0,0,0,COPS4,IC
0,0,0,25.50845337,25.45249367,25.69429016,0,0,0,COPS5,IC
0,0,0,26.66938972,26.35826874,26.07714462,0,0,0,COPZ1,IC
0,0,0,27.03977966,26.81457901,26.10049057,0,0,0,CORO2B,IC
28.65921593,28.75611305,29.22701645,30.34170151,30.42542458,30.96884155,29.28425217,29.50241089,29.19481468,COTL1,IC
0,0,0,30.61587906,30.28482628,29.92152977,0,0,0,CPNE3,IC
0,0,0,0,0,0,29.70888901,29.23036385,28.89020729,CRIP2,IC
0,0,0,26.74637604,26.62324142,27.06136703,0,0,0,CRYZ,IC
0,0,0,26.45414162,25.82391167,26.25383949,0,0,0,CSDE1,IC
0,0,0,0,0,0,27.93971634,26.69498062,27.62303352,CSF2,S
0,0,0,25.90712929,25.50972176,25.8727684,0,0,0,CSNK1E,IC
28.02902222,25.42934036,26.30040741,33.65533447,30.87312889,31.40633965,25.54619026,0,24.60342789,CSPG4,M
29.16346169,29.67626762,28.06321907,0,27.69105721,0,32.18518066,29.12206078,30.99077797,CST1,S
32.90190887,32.14876938,32.03721619,26.57315826,30.51107407,27.77039337,32.14958572,29.29756355,31.18003082,CST3,S
32.00637817,30.55371284,32.05239105,0,30.51182747,27.08304214,31.71317482,29.59174347,31.08423424,CST4,S
27.76110077,28.09027863,27.00731468,26.90219307,27.26517105,27.01435661,0,0,0,CTGF,S
0,0,0,0,0,0,27.37782478,0,25.4056797,CTHRC1,IC/S
0,0,0,26.32123947,25.08950233,25.590065,0,0,0,CTNNA2,IC
0,0,0,0,0,0,29.3502636,28.42009163,29.19765282,CTSA,IC/S
32.99875259,32.58275604,32.67035675,29.74863243,30.91127968,29.76660919,31.81306458,31.22014618,31.9381752,CTSB,S
28.32126427,0,27.64986229,0,0,0,0,0,0,CTSC,IC/S
0,0,0,27.8434391,27.62686729,26.38717461,30.47063065,30.95885277,30.47430992,CTSD,IC/S
0,0,0,0,0,0,26.29284477,26.63588715,26.34985924,CTSL,S
26.82323074,26.64759827,26.95770454,0,0,0,0,0,0,CTSV,S
0,0,0,26.8175087,26.80069923,26.13341713,0,0,0,CUL1,IC
0,0,0,27.30973244,26.53195763,26.96664238,0,0,0,CUL3,IC
0,0,0,27.61561584,27.42630386,27.39312935,0,0,0,CUL5,IC
0,0,0,0,0,0,28.03317642,26.19021988,27.48922348,CXCL5,S
34.1413269,30.42251968,31.19460297,26.71253395,29.53680801,26.46916008,32.77093124,30.84176064,31.82990456,CXCL8,S
0,0,0,27.29552841,26.80402756,26.63062096,0,0,0,CYBRD1,M
0,0,0,31.29482651,29.87588501,29.99307442,0,0,0,CYFIP1,IC
0,0,0,26.69988441,24.85186195,24.87168884,0,0,0,CYFIP2,IC
0,0,0,25.22339249,24.37331772,25.30716324,0,0,0,DAB2,IC
0,0,0,0,0,0,28.3334713,28.06650734,28.35640717,DAG1,IC/M/S
0,0,0,29.04640388,29.36369324,30.01571274,0,0,0,DAP,IC
0,0,0,0,0,0,28.7590065,28.56554413,28.86201096,DBI,IC
0,0,0,29.18044472,27.38804626,28.11862373,0,0,0,DBNL,IC/S
0,0,0,28.40361023,27.42013168,28.1748848,0,0,0,DCBLD1,M
0,0,0,30.86606979,29.44468498,30.57018471,0,0,0,DCBLD2,IC/M
0,0,0,25.70361328,23.94637108,24.42720032,0,0,0,DCC,IC/M
0,0,0,26.27728462,26.37500954,26.70872498,0,0,0,DCTN3,IC
0,0,0,25.35464287,26.05208588,26.2551899,0,0,0,DCTN4,IC
0,0,0,28.00415611,27.78544044,28.44852829,0,0,0,DCUN1D3,IC
0,0,0,28.27444267,26.61175156,27.28806496,27.00528145,27.71214104,27.195261,DDAH1,IC
0,0,0,29.50805283,28.04515457,28.36823845,0,0,0,DDAH2,IC
0,0,0,28.80405807,27.65853691,28.07250023,0,0,0,DDR2,IC/M/S
0,0,0,24.92709923,23.99291229,25.41034698,0,0,0,DDX19A;DDX19B,IC
0,0,0,25.70416641,24.21977997,24.40697861,0,0,0,DIAPH1,IC
0,0,0,30.13626099,30.30323601,30.43440056,0,0,0,DIP2B,IC
0,0,0,26.94937897,26.55865097,26.3780899,0,0,0,DIP2C,IC/M
0,0,0,32.0267334,31.39739037,31.62470627,0,0,0,DKFZp566H1924;NPTN,IC/M
27.69378471,26.46939278,28.31648254,27.70411491,28.99687767,29.56030655,0,0,0,DKFZp686J1372,IC
28.31207275,0,0,0,0,0,30.32291985,29.32311249,30.3541584,DKK3,S
0,0,0,25.1354351,25.7624073,25.67866135,0,0,0,DLG5,IC
0,0,0,26.89573669,26.52596855,26.97967339,0,0,0,DLGAP4,IC
0,0,0,26.63311768,24.73546791,26.71174812,0,0,0,DLL4,M
0,0,0,26.32347298,27.43205261,26.78656197,0,0,0,DMBT1,S
0,0,0,27.27941132,25.77341652,26.71620369,0,0,0,DMD,IC
0,0,0,26.17852783,25.77331543,25.29305649,0,0,0,DNAJB1,IC
0,0,0,26.74342537,26.1749897,25.62070084,0,0,0,DNAJC13,M
0,0,0,27.59605217,25.82138252,26.43952179,0,0,0,DNAJC5,M
0,0,0,28.32294083,27.37997437,27.82644653,0,0,0,DNM2,IC
0,0,0,0,0,0,34.4400444,34.05439758,33.89563751,DOCK10,IC
0,0,0,24.5666256,24.02182961,24.31222916,0,0,0,DOCK11,IC
0,0,0,24.03858757,24.65883636,26.21063042,0,0,0,DOCK9,IC
